group,value1,value2
Wolfgang Amadeus Mozart,1756,1791
Johann Sebastian Bach,1685,1750
Ludwig Van Beethoven,1770,1827
Frédéric Chopin,1810,1849
Richard Wagner,1813,1883
Giacomo Puccini,1858,1924
Johann Strauss II,1825,1899
Pyotr Ilyich Tchaikovsky,1840,1893
Giuseppe Verdi,1813,1901
Franz Schubert,1797,1828
