Composer,Value
Wolfgang Amadeus Mozart,281 pieces
Johann Sebastian Bach,232
Ludwig Van Beethoven,198
Frédéric Chopin,114
Richard Wagner,103
Giacomo Puccini,103
Johann Strauss II,101
Pyotr Ilyich Tchaikovsky,98
Giuseppe Verdi,93
Franz Schubert,90
